n,sign,q,value,factors,prime,rough_squarefree_P2
1046,1,19,1094135,5*7*43*727,0,0
1046,1,23,1094139,3*3*121571,0,0
1046,1,29,1094145,3*5*13*31*181,0,0
1046,1,31,1094147,1094147,1,1
1046,1,37,1094153,19*57587,0,1
1046,1,41,1094157,3*3*61*1993,0,0
1046,1,43,1094159,11*99469,0,1
1046,-1,3,1094113,47*23279,0,1
1046,-1,5,1094111,911*1201,0,1
1046,-1,7,1094109,3*251*1453,0,0
1046,-1,11,1094105,5*127*1723,0,0
1046,-1,13,1094103,3*3*17*7151,0,0
1046,-1,17,1094099,1094099,1,1
1046,-1,19,1094097,3*364699,0,0
1046,-1,23,1094093,7*11*13*1093,0,0
1046,-1,29,1094087,23*47569,0,1
1046,-1,31,1094085,3*3*5*41*593,0,0
1046,-1,37,1094079,3*7*53*983,0,0
1046,-1,41,1094075,5*5*107*409,0,0
1046,-1,43,1094073,3*364691,0,0
1048,1,3,1098307,7*156901,0,1
1048,1,5,1098309,3*366103,0,0
1048,1,7,1098311,1098311,1,1
1048,1,11,1098315,3*3*5*24407,0,0
1048,1,13,1098317,11*11*29*313,0,0
1048,1,17,1098321,3*7*52301,0,0
1048,1,19,1098323,283*3881,0,1
1048,1,23,1098327,3*269*1361,0,0
1048,1,29,1098333,3*3*3*19*2141,0,0
1048,1,31,1098335,5*7*7*4483,0,0
1048,1,37,1098341,1098341,1,1
1048,1,41,1098345,3*5*37*1979,0,0
1048,1,43,1098347,479*2293,0,1
1048,-1,3,1098301,1098301,1,1
1048,-1,5,1098299,31*71*499,0,0
1048,-1,7,1098297,3*3*122033,0,0
1048,-1,11,1098293,7*156899,0,1
1048,-1,13,1098291,3*366097,0,0
1048,-1,17,1098287,1098287,1,1
1048,-1,19,1098285,3*5*17*59*73,0,0
1048,-1,23,1098281,199*5519,0,1
1048,-1,29,1098275,5*5*197*223,0,0
1048,-1,31,1098273,3*11*23*1447,0,0
1048,-1,37,1098267,3*41*8929,0,0
1048,-1,41,1098263,43*25541,0,1
1048,-1,43,1098261,3*3*122029,0,0
1050,1,3,1102503,3*367501,0,0
1050,1,5,1102505,5*23*9587,0,0
1050,1,7,1102507,7*239*659,0,0
1050,1,11,1102511,379*2909,0,1
1050,1,13,1102513,19*58027,0,1
1050,1,17,1102517,13*84809,0,1
1050,1,19,1102519,11*73*1373,0,0
1050,1,23,1102523,1102523,1,1
1050,1,29,1102529,173*6373,0,1
